Time,Exchange,Symbol,LastPrice,BaseVolume,QuoteVolume,BidQty,BidPrice,AskPrice,AskQty
2021-02-19T17:04:42,BITTREX,ETH-CVC,0.0002433,4.10671685,17260.46753948,0,0.00024211,0.00024617,0
2021-02-19T17:04:42,BITTREX,BTC-QTUM,0.00013289,3.03190211,22227.03351578,0,0.00013215,0.00013314,0
2021-02-19T17:04:42,BITTREX,ETH-QTUM,0.00374524,9.79440024,2648.99936679,0,0.00366675,0.00373738,0
2021-02-19T17:04:42,BITTREX,ETH-XEM,0.00024431,118.30205606,495531.98222143,0,0.00024702,0.00024781,0
2021-02-19T17:04:42,BITTREX,ETH-XLM,0.00025995,193.26038802,741996.3033493,0,0.00026041,0.00026088,0
2021-02-19T17:04:42,BITTREX,ETH-NEO,0.02390207,185.34586255,7727.27167867,0,0.02388302,0.02396886,0
2021-02-19T17:04:42,BITTREX,ETH-BCH,0.36318,214.49202901,563.88966441,0,0.36419817,0.36544674,0
2021-02-19T17:04:42,BITTREX,USDT-BCH,708.81454697,918234.71349466,1291.23408139,0,708.99262428,710.22220431,0
2021-02-19T17:04:42,BITTREX,BTC-BCH,0.01309873,17.55206177,1299.50271216,0,0.01308004,0.01310056,0
2021-02-19T17:04:42,BITTREX,USDT-NEO,46.5860467,1082892.53949509,23554.89863389,0,46.5023903,46.61850887,0
2021-02-19T17:04:42,BITTREX,ETH-WAVES,0.00634754,18.60018696,2861.11731585,0,0.00635244,0.00644142,0
2021-02-19T17:04:42,BITTREX,ETH-STRAX,0.00080825,13.19241777,15478.17573742,0,0.00080953,0.00081633,0
2021-02-19T17:04:42,BITTREX,ETH-DGB,0.00003734,160.97675381,4137995.43855185,0,0.00003703,0.00003743,0
2021-02-19T17:04:42,BITTREX,BTC-MANA,0.00000587,3.65709095,619734.89391946,0,0.00000584,0.0000059,0
2021-02-19T17:04:42,BITTREX,ETH-MANA,0.00016162,7.54922608,47770.76777368,0,0.00016237,0.00016459,0
2021-02-19T17:04:42,BITTREX,BTC-RCN,0.00000176,0.44548657,245075.81082249,0,0.00000174,0.00000177,0
2021-02-19T17:04:42,BITTREX,ETH-VIB,0.00003617,5.07842397,143479.79879159,0,0.00003581,0.00003667,0
2021-02-19T17:04:42,BITTREX,ETH-ADA,0.00047583,1116.51267567,2353786.07810495,0,0.00047509,0.00047568,0
2021-02-19T17:04:42,BITTREX,USDT-ADA,0.92501376,3230327.15071195,3529213.43003459,0,0.92384505,0.92501375,0
2021-02-19T17:04:42,BITTREX,ETH-ZRX,0.00078265,29.0995218,35945.22922893,0,0.00078413,0.00078731,0
