Time,Exchange,Symbol,LastPrice,BaseVolume,QuoteVolume,BidQty,BidPrice,AskPrice,AskQty
2021-02-19T17:04:53,BITFINEX,tZECBTC,0.003233,9628.30101021,0,317.9593721,0.0032315,0.003237,323.10744192
2021-02-19T17:04:53,BITFINEX,tETPBTC,0.00000458,130229.45300591,0,37480.50894304,0.00000424,0.00000458,17079.85975936
2021-02-19T17:04:53,BITFINEX,tIOTUSD,1.4868,18394797.1425559,0,324819.06886322,1.485,1.4869,276982.93698713
2021-02-19T17:04:53,BITFINEX,tXMRBTC,0.0049456,10179.16638659,0,1451.98933392,0.0049515,0.0049591,3161.57967001
2021-02-19T17:04:53,BITFINEX,tOMGETH,0.0033405,15595.0867915,0,17993.1421221,0.0033397,0.003345,17245.86986829
2021-02-19T17:04:53,BITFINEX,tNEOUSD,46.594,88629.92303413,0,9165.10005422,46.501,46.612,15072.19353832
2021-02-19T17:04:53,BITFINEX,tEOSBTC,0.00009423,498232.21844728,0,181785.96866062,0.00009397,0.00009418,152456.07068992
2021-02-19T17:04:53,BITFINEX,tETPBTC,0.00000458,130229.45300591,0,37204.37224156,0.00000423,0.00000458,17079.85975936
2021-02-19T17:04:53,BITFINEX,tNEOBTC,0.00085927,20589.18294207,0,10360.24402786,0.00085707,0.00085993,22342.32867041
2021-02-19T17:04:53,BITFINEX,tDSHUSD,312.44,58069.10983761,0,2384.70897422,312.44,312.45,3740.12558025
2021-02-19T17:04:53,BITFINEX,tIOTETH,0.00076207,283598.6525831,0,149250.02610567,0.00076276,0.00076654,230936.63259481
2021-02-19T17:04:53,BITFINEX,tBTCUSD,54205,8561.28243736,0,20.99097809,54191,54202,12.52895869
2021-02-19T17:04:53,BITFINEX,tSANUSD,0.2222,292002.82488512,0,47429.18332261,0.222,0.23201,107047.16001431
2021-02-19T17:04:53,BITFINEX,tBTCJPY,5710600,260.98185204,0,22.78802889,5722900,5723300,12.04271532
2021-02-19T17:04:53,BITFINEX,tEOSETH,0.0026208,30451.96301282,0,24764.16768427,0.0026222,0.002625,38609.75232759
2021-02-19T17:04:53,BITFINEX,tETCBTC,0.00028089,11807.68704624,0,36826.0837826,0.00027969,0.00028073,51575.43463442
